timestamp_utc,run_name,phase,epoch,loss,accuracy,epoch_time_sec,avg_step_time_sec,samples,batches,samples_per_sec,batches_per_sec,optimizer_steps,peak_vram_mb
2026-02-25T23:30:18.516334+00:00,accum_bs8_acc4,train,1,0.12721202636652745,0.959639418152018,125.80679553499795,0.0159452934653792,53691,6712,426.7734486970841,53.351649022272426,1678,1354.2861328125
2026-02-25T23:30:18.516576+00:00,accum_bs8_acc4,val,1,0.11701469051010997,0.9641662685140946,9.312173256999813,0.005097041893051715,4186,524,449.51912775607457,56.27043070811827,1678,1354.2861328125
2026-02-25T23:32:31.251327+00:00,accum_bs8_acc4,train,2,0.07496352233129336,0.9786556406101581,123.77694186700683,0.015488818833411829,53691,6712,433.77222922253765,54.226578058551205,3356,323.37841796875
2026-02-25T23:32:31.251934+00:00,accum_bs8_acc4,val,2,0.10383905176891689,0.9641662685140946,8.876728299001115,0.004670152419783488,4186,524,471.57013924500137,59.03075799435755,3356,323.37841796875
2026-02-25T23:34:43.867645+00:00,accum_bs8_acc4,train,3,0.06426538274038218,0.9825669106554171,123.59855910700571,0.015211419518926178,53691,6712,434.3982679726622,54.304840189836455,5034,323.37841796875
2026-02-25T23:34:43.880625+00:00,accum_bs8_acc4,val,3,0.12442877926856859,0.960582895365504,8.928961408993928,0.004749449927304056,4186,524,468.8115233406142,58.6854367488012,5034,323.37841796875
2026-02-25T23:36:56.432766+00:00,accum_bs8_acc4,train,4,0.05752520092427414,0.9838892924326237,123.5990796660044,0.015083274792970478,53691,6712,434.39643842888233,54.304611475566816,6712,323.37841796875
2026-02-25T23:36:56.448263+00:00,accum_bs8_acc4,val,4,0.1028564729693542,0.9660774008600096,8.929065914009698,0.004668536298324662,4186,524,468.80603641106165,58.684749899521336,6712,323.37841796875
2026-02-25T23:39:09.210771+00:00,accum_bs8_acc4,train,5,0.05327986487265042,0.9852675494961912,123.57770808199712,0.015288335295082368,53691,6712,434.4715631428816,54.314002939319835,8390,323.37841796875
2026-02-25T23:39:09.211314+00:00,accum_bs8_acc4,val,5,0.09389842581248638,0.9708552317247969,9.063740915997187,0.004522924351171353,4186,524,461.8402091140818,57.81277342947417,8390,323.37841796875
